task_id,model_name,seed,coverage_group,included_in_curated_run_eval_archive,rollout_version,batch_dir,batch_index,run_dir,run_results_path,eval_results_path,full_records,test_records,val_score,test_score
attendance_payroll_audit_s2l_extra_high,qwen3-coder-30b-a3b,0,extra_variant_seed_pool,True,gepa_seed0_best,generated/baseline_batches/20260516_attendance_payroll_audit_s2l_qwen_post_gepa_levels_seed0,2,results/attendance_payroll_audit_s2l_extra_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed0_best_best_config,results/attendance_payroll_audit_s2l_extra_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed0_best_best_config/run.json,results/attendance_payroll_audit_s2l_extra_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed0_best_best_config/eval_results.yaml,300,180,0.6822222222222222,0.6951851851851852
attendance_payroll_audit_s2l_extra_high,qwen3-coder-30b-a3b,1,extra_variant_seed_pool,True,gepa_seed1_best,generated/baseline_batches/20260518_post_gepa_from_20260517_high_variant_gepa_optimization,8,results/attendance_payroll_audit_s2l_extra_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed1_best_best_config,results/attendance_payroll_audit_s2l_extra_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed1_best_best_config/run.json,results/attendance_payroll_audit_s2l_extra_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed1_best_best_config/eval_results.yaml,300,180,0.7033333333333334,0.710925925925926
attendance_payroll_audit_s2l_extra_high,qwen3-coder-30b-a3b,2,extra_variant_seed_pool,True,gepa_seed2_best,generated/baseline_batches/20260521_post_gepa_from_20260519_121530,13,results/attendance_payroll_audit_s2l_extra_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed2_best_best_config,results/attendance_payroll_audit_s2l_extra_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed2_best_best_config/run.json,results/attendance_payroll_audit_s2l_extra_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed2_best_best_config/eval_results.yaml,300,180,0.7711111111111111,0.6748148148148149
attendance_payroll_audit_s2l_medium,qwen3-coder-30b-a3b,0,extra_variant_seed_pool,True,gepa_seed0_best,generated/baseline_batches/20260516_attendance_payroll_audit_s2l_qwen_post_gepa_levels_seed0,1,results/attendance_payroll_audit_s2l_medium/qwen3-coder-30b-a3b_default/rollouts/gepa_seed0_best_best_config,results/attendance_payroll_audit_s2l_medium/qwen3-coder-30b-a3b_default/rollouts/gepa_seed0_best_best_config/run.json,results/attendance_payroll_audit_s2l_medium/qwen3-coder-30b-a3b_default/rollouts/gepa_seed0_best_best_config/eval_results.yaml,300,180,1.0,0.9777777777777777
attendance_payroll_audit_s2l_medium,qwen3-coder-30b-a3b,1,extra_variant_seed_pool,True,gepa_seed1_best,generated/baseline_batches/20260518_post_gepa_from_20260517_high_variant_gepa_optimization,4,results/attendance_payroll_audit_s2l_medium/qwen3-coder-30b-a3b_default/rollouts/gepa_seed1_best_best_config,results/attendance_payroll_audit_s2l_medium/qwen3-coder-30b-a3b_default/rollouts/gepa_seed1_best_best_config/run.json,results/attendance_payroll_audit_s2l_medium/qwen3-coder-30b-a3b_default/rollouts/gepa_seed1_best_best_config/eval_results.yaml,300,180,0.7666666666666667,0.8055555555555556
attendance_payroll_audit_s2l_medium,qwen3-coder-30b-a3b,2,extra_variant_seed_pool,True,gepa_seed2_best,generated/baseline_batches/20260521_post_gepa_from_20260519_121530,9,results/attendance_payroll_audit_s2l_medium/qwen3-coder-30b-a3b_default/rollouts/gepa_seed2_best_best_config,results/attendance_payroll_audit_s2l_medium/qwen3-coder-30b-a3b_default/rollouts/gepa_seed2_best_best_config/run.json,results/attendance_payroll_audit_s2l_medium/qwen3-coder-30b-a3b_default/rollouts/gepa_seed2_best_best_config/eval_results.yaml,300,180,0.8833333333333333,0.8833333333333333
budget_approval_s2l_extra_high,qwen3-coder-30b-a3b,0,extra_variant_seed_pool,True,gepa_seed0_best,generated/baseline_batches/20260514_budget_approval_s2l_qwen_post_gepa_diversity_seed0,2,results/budget_approval_s2l_extra_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed0_best_best_config,results/budget_approval_s2l_extra_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed0_best_best_config/run.json,results/budget_approval_s2l_extra_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed0_best_best_config/eval_results.yaml,300,180,0.5437169312169312,0.6615299823633157
budget_approval_s2l_extra_high,qwen3-coder-30b-a3b,1,extra_variant_seed_pool,True,gepa_seed1_best,generated/baseline_batches/20260518_post_gepa_from_20260517_high_variant_gepa_optimization,9,results/budget_approval_s2l_extra_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed1_best_best_config,results/budget_approval_s2l_extra_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed1_best_best_config/run.json,results/budget_approval_s2l_extra_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed1_best_best_config/eval_results.yaml,300,180,0.709126984126984,0.6843474426807761
budget_approval_s2l_extra_high,qwen3-coder-30b-a3b,2,extra_variant_seed_pool,True,gepa_seed2_best,generated/baseline_batches/20260521_post_gepa_from_20260519_121530,14,results/budget_approval_s2l_extra_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed2_best_best_config,results/budget_approval_s2l_extra_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed2_best_best_config/run.json,results/budget_approval_s2l_extra_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed2_best_best_config/eval_results.yaml,300,180,0.6543650793650794,0.5737654320987654
budget_approval_s2l_medium,qwen3-coder-30b-a3b,0,extra_variant_seed_pool,True,gepa_seed0_best,generated/baseline_batches/20260514_budget_approval_s2l_qwen_post_gepa_diversity_seed0,1,results/budget_approval_s2l_medium/qwen3-coder-30b-a3b_default/rollouts/gepa_seed0_best_best_config,results/budget_approval_s2l_medium/qwen3-coder-30b-a3b_default/rollouts/gepa_seed0_best_best_config/run.json,results/budget_approval_s2l_medium/qwen3-coder-30b-a3b_default/rollouts/gepa_seed0_best_best_config/eval_results.yaml,300,180,0.7940476190476191,0.8208333333333333
budget_approval_s2l_medium,qwen3-coder-30b-a3b,1,extra_variant_seed_pool,True,gepa_seed1_best,generated/baseline_batches/20260518_post_gepa_from_20260517_high_variant_gepa_optimization,5,results/budget_approval_s2l_medium/qwen3-coder-30b-a3b_default/rollouts/gepa_seed1_best_best_config,results/budget_approval_s2l_medium/qwen3-coder-30b-a3b_default/rollouts/gepa_seed1_best_best_config/run.json,results/budget_approval_s2l_medium/qwen3-coder-30b-a3b_default/rollouts/gepa_seed1_best_best_config/eval_results.yaml,300,180,0.7095238095238094,0.7156746031746033
budget_approval_s2l_medium,qwen3-coder-30b-a3b,2,extra_variant_seed_pool,True,gepa_seed2_best,generated/baseline_batches/20260521_post_gepa_from_20260519_121530,10,results/budget_approval_s2l_medium/qwen3-coder-30b-a3b_default/rollouts/gepa_seed2_best_best_config,results/budget_approval_s2l_medium/qwen3-coder-30b-a3b_default/rollouts/gepa_seed2_best_best_config/run.json,results/budget_approval_s2l_medium/qwen3-coder-30b-a3b_default/rollouts/gepa_seed2_best_best_config/eval_results.yaml,300,180,0.7946428571428572,0.8031746031746032
attendance_payroll_audit_s2l_high,gemma-4-26b-a4b,0,main_final_seed_pool,True,gepa_seed0_best,generated/baseline_batches/20260518_post_gepa_from_20260517_high_variant_gepa_optimization,0,results/attendance_payroll_audit_s2l_high/gemma-4-26b-a4b_default/rollouts/gepa_seed0_best_best_config,results/attendance_payroll_audit_s2l_high/gemma-4-26b-a4b_default/rollouts/gepa_seed0_best_best_config/run.json,results/attendance_payroll_audit_s2l_high/gemma-4-26b-a4b_default/rollouts/gepa_seed0_best_best_config/eval_results.yaml,300,180,0.95,0.9407407407407408
attendance_payroll_audit_s2l_high,gemma-4-26b-a4b,1,main_final_seed_pool,True,gepa_seed1_best,generated/baseline_batches/20260521_post_gepa_from_20260519_121530,5,results/attendance_payroll_audit_s2l_high/gemma-4-26b-a4b_default/rollouts/gepa_seed1_best_best_config,results/attendance_payroll_audit_s2l_high/gemma-4-26b-a4b_default/rollouts/gepa_seed1_best_best_config/run.json,results/attendance_payroll_audit_s2l_high/gemma-4-26b-a4b_default/rollouts/gepa_seed1_best_best_config/eval_results.yaml,300,180,0.9833333333333333,0.9574074074074075
attendance_payroll_audit_s2l_high,gemma-4-26b-a4b,2,main_final_seed_pool,True,gepa_seed2_best,generated/baseline_batches/20260521_post_gepa_from_20260519_121530,15,results/attendance_payroll_audit_s2l_high/gemma-4-26b-a4b_default/rollouts/gepa_seed2_best_best_config,results/attendance_payroll_audit_s2l_high/gemma-4-26b-a4b_default/rollouts/gepa_seed2_best_best_config/run.json,results/attendance_payroll_audit_s2l_high/gemma-4-26b-a4b_default/rollouts/gepa_seed2_best_best_config/eval_results.yaml,300,180,0.9333333333333333,0.9092592592592592
attendance_payroll_audit_s2l_high,ministral-3-8b,0,main_final_seed_pool,True,gepa_seed0_best,generated/baseline_batches/20260518_post_gepa_from_20260517_high_variant_gepa_optimization,2,results/attendance_payroll_audit_s2l_high/ministral-3-8b_default/rollouts/gepa_seed0_best_best_config,results/attendance_payroll_audit_s2l_high/ministral-3-8b_default/rollouts/gepa_seed0_best_best_config/run.json,results/attendance_payroll_audit_s2l_high/ministral-3-8b_default/rollouts/gepa_seed0_best_best_config/eval_results.yaml,300,180,0.5444444444444444,0.6148148148148148
attendance_payroll_audit_s2l_high,ministral-3-8b,1,main_final_seed_pool,True,gepa_seed1_best,generated/baseline_batches/20260521_post_gepa_from_20260519_121530,7,results/attendance_payroll_audit_s2l_high/ministral-3-8b_default/rollouts/gepa_seed1_best_best_config,results/attendance_payroll_audit_s2l_high/ministral-3-8b_default/rollouts/gepa_seed1_best_best_config/run.json,results/attendance_payroll_audit_s2l_high/ministral-3-8b_default/rollouts/gepa_seed1_best_best_config/eval_results.yaml,300,180,0.5833333333333334,0.6333333333333333
attendance_payroll_audit_s2l_high,ministral-3-8b,2,main_final_seed_pool,True,gepa_seed2_best,generated/baseline_batches/20260521_post_gepa_from_20260519_121530,17,results/attendance_payroll_audit_s2l_high/ministral-3-8b_default/rollouts/gepa_seed2_best_best_config,results/attendance_payroll_audit_s2l_high/ministral-3-8b_default/rollouts/gepa_seed2_best_best_config/run.json,results/attendance_payroll_audit_s2l_high/ministral-3-8b_default/rollouts/gepa_seed2_best_best_config/eval_results.yaml,300,180,0.3888888888888889,0.4444444444444444
attendance_payroll_audit_s2l_high,qwen3-coder-30b-a3b,0,main_final_seed_pool,True,gepa_seed0_best,generated/baseline_batches/20260516_attendance_payroll_audit_s2l_qwen_post_gepa_levels_seed0,0,results/attendance_payroll_audit_s2l_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed0_best_best_config,results/attendance_payroll_audit_s2l_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed0_best_best_config/run.json,results/attendance_payroll_audit_s2l_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed0_best_best_config/eval_results.yaml,300,180,0.7333333333333333,0.7370370370370369
attendance_payroll_audit_s2l_high,qwen3-coder-30b-a3b,1,main_final_seed_pool,True,gepa_seed1_best,generated/baseline_batches/20260518_post_gepa_from_20260517_high_variant_gepa_optimization,6,results/attendance_payroll_audit_s2l_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed1_best_best_config,results/attendance_payroll_audit_s2l_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed1_best_best_config/run.json,results/attendance_payroll_audit_s2l_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed1_best_best_config/eval_results.yaml,300,180,0.7277777777777777,0.7333333333333333
attendance_payroll_audit_s2l_high,qwen3-coder-30b-a3b,2,main_final_seed_pool,True,gepa_seed2_best,generated/baseline_batches/20260521_post_gepa_from_20260519_121530,11,results/attendance_payroll_audit_s2l_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed2_best_best_config,results/attendance_payroll_audit_s2l_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed2_best_best_config/run.json,results/attendance_payroll_audit_s2l_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed2_best_best_config/eval_results.yaml,300,180,0.7166666666666667,0.7592592592592592
budget_approval_s2l_high,gemma-4-26b-a4b,0,main_final_seed_pool,True,gepa_seed0_best,generated/baseline_batches/20260518_post_gepa_from_20260517_high_variant_gepa_optimization,1,results/budget_approval_s2l_high/gemma-4-26b-a4b_default/rollouts/gepa_seed0_best_best_config,results/budget_approval_s2l_high/gemma-4-26b-a4b_default/rollouts/gepa_seed0_best_best_config/run.json,results/budget_approval_s2l_high/gemma-4-26b-a4b_default/rollouts/gepa_seed0_best_best_config/eval_results.yaml,300,180,0.9666666666666667,0.9831349206349207
budget_approval_s2l_high,gemma-4-26b-a4b,1,main_final_seed_pool,True,gepa_seed1_best,generated/baseline_batches/20260521_post_gepa_from_20260519_121530,6,results/budget_approval_s2l_high/gemma-4-26b-a4b_default/rollouts/gepa_seed1_best_best_config,results/budget_approval_s2l_high/gemma-4-26b-a4b_default/rollouts/gepa_seed1_best_best_config/run.json,results/budget_approval_s2l_high/gemma-4-26b-a4b_default/rollouts/gepa_seed1_best_best_config/eval_results.yaml,300,180,0.8575396825396825,0.9033730158730159
budget_approval_s2l_high,gemma-4-26b-a4b,2,main_final_seed_pool,True,gepa_seed2_best,generated/baseline_batches/20260521_post_gepa_from_20260519_121530,16,results/budget_approval_s2l_high/gemma-4-26b-a4b_default/rollouts/gepa_seed2_best_best_config,results/budget_approval_s2l_high/gemma-4-26b-a4b_default/rollouts/gepa_seed2_best_best_config/run.json,results/budget_approval_s2l_high/gemma-4-26b-a4b_default/rollouts/gepa_seed2_best_best_config/eval_results.yaml,300,180,0.9535714285714286,0.9345238095238095
budget_approval_s2l_high,ministral-3-8b,0,main_final_seed_pool,True,gepa_seed0_best,generated/baseline_batches/20260518_post_gepa_from_20260517_high_variant_gepa_optimization,3,results/budget_approval_s2l_high/ministral-3-8b_default/rollouts/gepa_seed0_best_best_config,results/budget_approval_s2l_high/ministral-3-8b_default/rollouts/gepa_seed0_best_best_config/run.json,results/budget_approval_s2l_high/ministral-3-8b_default/rollouts/gepa_seed0_best_best_config/eval_results.yaml,300,180,0.5734126984126984,0.5371693121693122
budget_approval_s2l_high,ministral-3-8b,1,main_final_seed_pool,True,gepa_seed1_best,generated/baseline_batches/20260521_post_gepa_from_20260519_121530,8,results/budget_approval_s2l_high/ministral-3-8b_default/rollouts/gepa_seed1_best_best_config,results/budget_approval_s2l_high/ministral-3-8b_default/rollouts/gepa_seed1_best_best_config/run.json,results/budget_approval_s2l_high/ministral-3-8b_default/rollouts/gepa_seed1_best_best_config/eval_results.yaml,300,180,0.5442460317460317,0.6333994708994709
budget_approval_s2l_high,ministral-3-8b,2,main_final_seed_pool,True,gepa_seed2_best,generated/baseline_batches/20260521_post_gepa_from_20260519_121530,18,results/budget_approval_s2l_high/ministral-3-8b_default/rollouts/gepa_seed2_best_best_config,results/budget_approval_s2l_high/ministral-3-8b_default/rollouts/gepa_seed2_best_best_config/run.json,results/budget_approval_s2l_high/ministral-3-8b_default/rollouts/gepa_seed2_best_best_config/eval_results.yaml,300,180,0.4829365079365079,0.5185185185185185
budget_approval_s2l_high,qwen3-coder-30b-a3b,0,main_final_seed_pool,True,gepa_seed0_best,generated/baseline_batches/20260514_budget_approval_s2l_qwen_post_gepa_diversity_seed0,0,results/budget_approval_s2l_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed0_best_best_config,results/budget_approval_s2l_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed0_best_best_config/run.json,results/budget_approval_s2l_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed0_best_best_config/eval_results.yaml,300,180,0.8301587301587302,0.7930555555555555
budget_approval_s2l_high,qwen3-coder-30b-a3b,1,main_final_seed_pool,True,gepa_seed1_best,generated/baseline_batches/20260518_post_gepa_from_20260517_high_variant_gepa_optimization,7,results/budget_approval_s2l_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed1_best_best_config,results/budget_approval_s2l_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed1_best_best_config/run.json,results/budget_approval_s2l_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed1_best_best_config/eval_results.yaml,300,180,0.736111111111111,0.7021825396825396
budget_approval_s2l_high,qwen3-coder-30b-a3b,2,main_final_seed_pool,True,gepa_seed2_best,generated/baseline_batches/20260521_post_gepa_from_20260519_121530,12,results/budget_approval_s2l_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed2_best_best_config,results/budget_approval_s2l_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed2_best_best_config/run.json,results/budget_approval_s2l_high/qwen3-coder-30b-a3b_default/rollouts/gepa_seed2_best_best_config/eval_results.yaml,300,180,0.7873015873015874,0.7587301587301588
machine_operating_s2l,gemma-4-26b-a4b,0,main_final_seed_pool,True,gepa_seed0_best,generated/baseline_batches/20260511_post_gepa_from_20260509_101808,6,results/machine_operating_s2l/gemma-4-26b-a4b_default/rollouts/gepa_seed0_best_best_config,results/machine_operating_s2l/gemma-4-26b-a4b_default/rollouts/gepa_seed0_best_best_config/run.json,results/machine_operating_s2l/gemma-4-26b-a4b_default/rollouts/gepa_seed0_best_best_config/eval_results.yaml,300,180,0.9666666666666667,1.0
machine_operating_s2l,gemma-4-26b-a4b,1,main_final_seed_pool,True,gepa_seed1_best,generated/baseline_batches/20260514_selected_post_gepa_best_configs_corrected,14,results/machine_operating_s2l/gemma-4-26b-a4b_default/rollouts/gepa_seed1_best_best_config,results/machine_operating_s2l/gemma-4-26b-a4b_default/rollouts/gepa_seed1_best_best_config/run.json,results/machine_operating_s2l/gemma-4-26b-a4b_default/rollouts/gepa_seed1_best_best_config/eval_results.yaml,300,180,0.2833333333333333,0.31666666666666665
machine_operating_s2l,gemma-4-26b-a4b,2,main_final_seed_pool,True,gepa_seed2_best,generated/baseline_batches/20260521_post_gepa_from_20260519_121530,4,results/machine_operating_s2l/gemma-4-26b-a4b_default/rollouts/gepa_seed2_best_best_config,results/machine_operating_s2l/gemma-4-26b-a4b_default/rollouts/gepa_seed2_best_best_config/run.json,results/machine_operating_s2l/gemma-4-26b-a4b_default/rollouts/gepa_seed2_best_best_config/eval_results.yaml,300,180,1.0,0.9944444444444445
machine_operating_s2l,ministral-3-8b,0,main_final_seed_pool,True,gepa_seed0_best,generated/baseline_batches/20260502_post_full_resume,12,results/machine_operating_s2l/ministral-3-8b_default/rollouts/gepa_seed0_best_best_config,results/machine_operating_s2l/ministral-3-8b_default/rollouts/gepa_seed0_best_best_config/run.json,results/machine_operating_s2l/ministral-3-8b_default/rollouts/gepa_seed0_best_best_config/eval_results.yaml,300,180,0.0,0.0
